nome_mun,pop2017,muni_code
Pequizeiro,5453,1716653
Colm\u00e9ia,8409,1716703
Pindorama do Tocantins,4520,1717008
Piraqu\u00ea,3044,1717206
Pium,7536,1717503
Ponte Alta do Bom Jesus,4645,1717800
Ponte Alta do Tocantins,7949,1717909
Porto Alegre do Tocantins,3102,1718006
Porto Nacional,52828,1718204
Praia Norte,8365,1718303
Presidente Kennedy,3733,1718402
Pugmil,2650,1718451
Recursol\u00e2ndia,4230,1718501
Riachinho,4601,1718550
Rio da Concei\u00e7\u00e3o,2061,1718659
Rio dos Bois,2810,1718709
Rio Sono,6512,1718758
Sampaio,4579,1718808
Sandol\u00e2ndia,3410,1718840
Santa F\u00e9 do Araguaia,7402,1718865
Santa Maria do Tocantins,3356,1718881
Santa Rita do Tocantins,2343,1718899
Santa Rosa do Tocantins,4833,1718907
Santa Tereza do Tocantins,2825,1719004
Santa Terezinha do Tocantins,2550,1720002
S\u00e3o Bento do Tocantins,5231,1720101
S\u00e3o F\u00e9lix do Tocantins,1571,1720150
S\u00e3o Miguel do Tocantins,11906,1720200
S\u00e3o Salvador do Tocantins,3084,1720259
S\u00e3o Sebasti\u00e3o do Tocantins,4749,1720309
S\u00e3o Val\u00e9rio,4111,1720499
Silvan\u00f3polis,5399,1720655
S\u00edtio Novo do Tocantins,9192,1720804
Sucupira,1941,1720853
Taguatinga,16530,1720903
Taipas do Tocantins,2130,1720937
Talism\u00e3,2777,1720978
Palmas,286787,1721000
Tocant\u00ednia,7460,1721109
Tocantin\u00f3polis,23119,1721208
Tupirama,1843,1721257
Tupiratins,2574,1721307
Wanderl\u00e2ndia,11677,1722081
Xambio\u00e1,11683,1722107
A\u00e7ail\u00e2ndia,111339,2100055
Afonso Cunha,6486,2100105
\u00c1gua Doce do Maranh\u00e3o,12457,2100154
Alc\u00e2ntara,21673,2100204
Aldeias Altas,26387,2100303
Altamira do Maranh\u00e3o,8070,2100402
Alto Alegre do Maranh\u00e3o,26872,2100436
Alto Alegre do Pindar\u00e9,31312,2100477
Alto Parna\u00edba,11001,2100501
Amap\u00e1 do Maranh\u00e3o,6895,2100550
Amarante do Maranh\u00e3o,41106,2100600
Anajatuba,27352,2100709
Anapurus,15696,2100808
Apicum-A\u00e7u,18374,2100832
Araguan\u00e3,15332,2100873
Araioses,46074,2100907
Arame,32145,2100956
Arari,29388,2101004
Axix\u00e1,11975,2101103
Bacabal,103359,2101202
Bacabeira,17053,2101251
Bacuri,17435,2101301
Bacurituba,5574,2101350
Balsas,94779,2101400
Bar\u00e3o de Graja\u00fa,18619,2101509
Barra do Corda,87135,2101608
Barreirinhas,62458,2101707
Bel\u00e1gua,7422,2101731
Bela Vista do Maranh\u00e3o,11103,2101772
Benedito Leite,5528,2101806
Bequim\u00e3o,20881,2101905
Bernardo do Mearim,5973,2101939
Boa Vista do Gurupi,9320,2101970
Bom Jardim,41120,2102002
Bom Jesus das Selvas,34278,2102036
Bom Lugar,16214,2102077
Brejo,36102,2102101
Brejo de Areia,8696,2102150
Buriti,28306,2102200
Buriti Bravo,23495,2102309
Buriticupu,71979,2102325
Buritirana,15180,2102358
Cachoeira Grande,8930,2102374
Cajapi\u00f3,11019,2102408
Cajari,19110,2102507
Campestre do Maranh\u00e3o,14219,2102556
C\u00e2ndido Mendes,19943,2102606
Cantanhede,21759,2102705
Capinzal do Norte,10713,2102754
Carolina,23803,2102804
Carutapera,23576,2102903
Caxias,162657,2103000
Cedral,10490,2103109
Central do Maranh\u00e3o,8615,2103125
Centro do Guilherme,13555,2103158
Centro Novo do Maranh\u00e3o,21565,2103174
Chapadinha,78965,2103208
Cidel\u00e2ndia,14539,2103257
Cod\u00f3,120810,2103307
Coelho Neto,48756,2103406
Colinas,40575,2103505
Concei\u00e7\u00e3o do Lago-A\u00e7u,16192,2103554
Coroat\u00e1,64403,2103604
Cururupu,30706,2103703
Davin\u00f3polis,12659,2103752
Dom Pedro,22912,2103802
Duque Bacelar,11208,2103901
Esperantin\u00f3polis,16653,2104008
Estreito,42110,2104057
Feira Nova do Maranh\u00e3o,8372,2104073
Fernando Falc\u00e3o,10326,2104081
Formosa da Serra Negra,18997,2104099
Fortaleza dos Nogueiras,12403,2104107
Fortuna,15262,2104206
Godofredo Viana,11830,2104305
Gon\u00e7alves Dias,17586,2104404
Governador Archer,10700,2104503
Governador Edison Lob\u00e3o,18316,2104552
Governador Eug\u00eanio Barros,16582,2104602
Governador Luiz Rocha,7708,2104628
Governador Newton Bello,9921,2104651
Governador Nunes Freire,24991,2104677
Gra\u00e7a Aranha,6134,2104701
Graja\u00fa,69232,2104800
Guimar\u00e3es,11728,2104909
Humberto de Campos,28509,2105005
Icatu,26835,2105104
Igarap\u00e9 do Meio,14147,2105153
Igarap\u00e9 Grande,11206,2105203
Imperatriz,254569,2105302
Itaipava do Graja\u00fa,16009,2105351
Itapecuru Mirim,67726,2105401
Itinga do Maranh\u00e3o,25589,2105427
Jatob\u00e1,10221,2105450
Jenipapo dos Vieiras,16321,2105476
Jo\u00e3o Lisboa,23042,2105500
Josel\u00e2ndia,15891,2105609
Junco do Maranh\u00e3o,3237,2105658
Lago da Pedra,49856,2105708
Lago do Junco,10672,2105807
Lago Verde,16025,2105906
Lagoa do Mato,11048,2105922
Lago dos Rodrigues,8664,2105948
Lagoa Grande do Maranh\u00e3o,11286,2105963
Lajeado Novo,7489,2105989
Lima Campos,11695,2106003
Loreto,12009,2106102
Lu\u00eds Domingues,6867,2106201
Magalh\u00e3es de Almeida,19779,2106300
Maraca\u00e7um\u00e9,21293,2106326
Maraj\u00e1 do Sena,7604,2106359
Maranh\u00e3ozinho,16366,2106375
Mata Roma,16745,2106409
Matinha,23091,2106508
Mat\u00f5es,33374,2106607
Mat\u00f5es do Norte,16908,2106631
Milagres do Maranh\u00e3o,8326,2106672
Mirador,20613,2106706
Miranda do Norte,28456,2106755
Mirinzal,14744,2106805
Mon\u00e7\u00e3o,33156,2106904
Montes Altos,8889,2107001
Morros,19282,2107100
Nina Rodrigues,14489,2107209
Nova Colinas,5350,2107258
Nova Iorque,4586,2107308
Nova Olinda do Maranh\u00e3o,20768,2107357
Olho d\'\u00c1gua das Cunh\u00e3s,19206,2107407
Olinda Nova do Maranh\u00e3o,14637,2107456
Pa\u00e7o do Lumiar,122420,2107506
Palmeir\u00e2ndia,19424,2107605
Paraibano,21116,2107704
Parnarama,34375,2107803
Passagem Franca,18839,2107902
Pastos Bons,19271,2108009
Paulino Neves,15937,2108058
Paulo Ramos,20657,2108108
Pedreiras,38365,2108207
Pedro do Ros\u00e1rio,25000,2108256
Penalva,38144,2108306
Peri Mirim,14074,2108405
Peritor\u00f3,23019,2108454
Pindar\u00e9-Mirim,32488,2108504
Pinheiro,82374,2108603
Pio XII,20861,2108702
Pirapemas,18413,2108801
Po\u00e7\u00e3o de Pedras,17023,2108900
Porto Franco,23760,2109007
Porto Rico do Maranh\u00e3o,5819,2109056
Presidente Dutra,47239,2109106
Presidente Juscelino,12656,2109205
Presidente M\u00e9dici,6968,2109239
Presidente Sarney,18797,2109270
Presidente Vargas,11474,2109304
Primeira Cruz,15207,2109403
Raposa,30863,2109452
Riach\u00e3o,19701,2109502
Ribamar Fiquene,7691,2109551
Ros\u00e1rio,42314,2109601
Samba\u00edba,5568,2109700
Santa Filomena do Maranh\u00e3o,7708,2109759
Santa Helena,41891,2109809
Santa In\u00eas,88013,2109908
Santa Luzia,71576,2110005
Santa Luzia do Paru\u00e1,24946,2110039
Santa Quit\u00e9ria do Maranh\u00e3o,25334,2110104
Santa Rita,37090,2110203
Santana do Maranh\u00e3o,13395,2110237
Santo Amaro do Maranh\u00e3o,15853,2110278
Santo Ant\u00f4nio dos Lopes,14222,2110302
S\u00e3o Benedito do Rio Preto,18377,2110401
S\u00e3o Bento,46039,2110500
S\u00e3o Bernardo,28208,2110609
S\u00e3o Domingos do Azeit\u00e3o,7291,2110658
S\u00e3o Domingos do Maranh\u00e3o,33691,2110708
S\u00e3o F\u00e9lix de Balsas,4453,2110807
S\u00e3o Francisco do Brej\u00e3o,11808,2110856
S\u00e3o Francisco do Maranh\u00e3o,11976,2110906
S\u00e3o Jo\u00e3o Batista,20307,2111003
S\u00e3o Jo\u00e3o do Car\u00fa,15450,2111029
S\u00e3o Jo\u00e3o do Para\u00edso,10977,2111052
S\u00e3o Jo\u00e3o do Soter,18345,2111078
S\u00e3o Jo\u00e3o dos Patos,25520,2111102
S\u00e3o Jos\u00e9 de Ribamar,176418,2111201
S\u00e3o Jos\u00e9 dos Bas\u00edlios,7484,2111250
S\u00e3o Lu\u00eds,1091868,2111300
S\u00e3o Lu\u00eds Gonzaga do Maranh\u00e3o,18247,2111409
S\u00e3o Mateus do Maranh\u00e3o,40992,2111508
S\u00e3o Pedro da \u00c1gua Branca,12511,2111532
S\u00e3o Pedro dos Crentes,4601,2111573
S\u00e3o Raimundo das Mangabeiras,18680,2111607
S\u00e3o Raimundo do Doca Bezerra,4946,2111631
S\u00e3o Roberto,6704,2111672
S\u00e3o Vicente Ferrer,20913,2111706
Satubinha,13949,2111722
Senador Alexandre Costa,11042,2111748
Senador La Rocque,13877,2111763
Serrano do Maranh\u00e3o,11040,2111789
S\u00edtio Novo,17851,2111805
Sucupira do Norte,10416,2111904
Sucupira do Riach\u00e3o,5571,2111953
Tasso Fragoso,8455,2112001
Timbiras,28635,2112100
Timon,167619,2112209
Trizidela do Vale,21749,2112233
Tufil\u00e2ndia,5746,2112274
Tuntum,41342,2112308
Turia\u00e7u,35063,2112407
Turil\u00e2ndia,25533,2112456
Tut\u00f3ia,58605,2112506
Urbano Santos,33038,2112605
Vargem Grande,56511,2112704
Viana,51738,2112803
Vila Nova dos Mart\u00edrios,13480,2112852
Vit\u00f3ria do Mearim,32267,2112902
Vitorino Freire,30879,2113009
Z\u00e9 Doca,51084,2114007
Acau\u00e3,6966,2200053
Agricol\u00e2ndia,5062,2200103
\u00c1gua Branca,17119,2200202
Alagoinha do Piau\u00ed,7526,2200251
Alegrete do Piau\u00ed,4838,2200277
Alto Long\u00e1,14070,2200301
Altos,39864,2200400
Alvorada do Gurgu\u00e9ia,5326,2200459
Amarante,17322,2200509
Angical do Piau\u00ed,6684,2200608
An\u00edsio de Abreu,9705,2200707
Ant\u00f4nio Almeida,3114,2200806
Aroazes,5748,2200905
Aroeiras do Itaim,2511,2200954
Arraial,4656,2201002
Assun\u00e7\u00e3o do Piau\u00ed,7717,2201051
Avelino Lopes,11503,2201101
Baixa Grande do Ribeiro,11375,2201150
Barra D\'Alc\u00e2ntara,3889,2201176
Barras,46291,2201200
Barreiras do Piau\u00ed,3294,2201309
Barro Duro,6925,2201408
Batalha,26421,2201507
Bela Vista do Piau\u00ed,3947,2201556
Bel\u00e9m do Piau\u00ed,3503,2201572
Beneditinos,10037,2201606
Bertol\u00ednia,5413,2201705
Bet\u00e2nia do Piau\u00ed,6106,2201739
Boa Hora,6663,2201770
Bocaina,4428,2201804
Bom Jesus,24711,2201903
Bom Princ\u00edpio do Piau\u00ed,5535,2201919
Bonfim do Piau\u00ed,5577,2201929
Boqueir\u00e3o do Piau\u00ed,6300,2201945
Brasileira,8192,2201960
Brejo do Piau\u00ed,3823,2201988
Buriti dos Lopes,19464,2202000
Buriti dos Montes,8108,2202026
Cabeceiras do Piau\u00ed,10406,2202059
Cajazeiras do Piau\u00ed,3497,2202075
Cajueiro da Praia,7510,2202083
Caldeir\u00e3o Grande do Piau\u00ed,5684,2202091
Campinas do Piau\u00ed,5522,2202109
Campo Alegre do Fidalgo,4957,2202117
Campo Grande do Piau\u00ed,5842,2202133
Campo Largo do Piau\u00ed,7154,2202174
Campo Maior,46082,2202208
Canavieira,3892,2202251
Canto do Buriti,20831,2202307
Capit\u00e3o de Campos,11229,2202406
Capit\u00e3o Gerv\u00e1sio Oliveira,4033,2202455
Caracol,10729,2202505
Cara\u00fabas do Piau\u00ed,5769,2202539
Caridade do Piau\u00ed,4982,2202554
Castelo do Piau\u00ed,19410,2202604
Caxing\u00f3,5330,2202653
Cocal,27338,2202703
Cocal de Telha,4812,2202711
Cocal dos Alves,6054,2202729
Coivaras,3953,2202737
Col\u00f4nia do Gurgu\u00e9ia,6372,2202752
Col\u00f4nia do Piau\u00ed,7536,2202778
Concei\u00e7\u00e3o do Canind\u00e9,4726,2202802
Coronel Jos\u00e9 Dias,4608,2202851
Corrente,26205,2202901
Cristal\u00e2ndia do Piau\u00ed,8154,2203008
Cristino Castro,10253,2203107
Curimat\u00e1,11190,2203206
Currais,4871,2203230
Curralinhos,4367,2203255
Curral Novo do Piau\u00ed,5251,2203271
Demerval Lob\u00e3o,13595,2203305
Dirceu Arcoverde,6896,2203354
Dom Expedito Lopes,6790,2203404
Domingos Mour\u00e3o,4287,2203420
Dom Inoc\u00eancio,9404,2203453
Elesb\u00e3o Veloso,14383,2203503
Eliseu Martins,4834,2203602
Esperantina,39078,2203701
Fartura do Piau\u00ed,5220,2203750
Flores do Piau\u00ed,4393,2203800
Floresta do Piau\u00ed,2518,2203859
Floriano,58969,2203909
Francin\u00f3polis,5264,2204006
Francisco Ayres,4288,2204105
Francisco Macedo,3128,2204154
Francisco Santos,9154,2204204
Fronteiras,11432,2204303
Geminiano,5352,2204352
Gilbu\u00e9s,10522,2204402
Guadalupe,10335,2204501
Guaribas,4489,2204550
Hugo Napole\u00e3o,3816,2204600
Ilha Grande,9268,2204659
Inhuma,15065,2204709
Ipiranga do Piau\u00ed,9649,2204808
Isa\u00edas Coelho,8428,2204907
Itain\u00f3polis,11343,2205003
Itaueira,10845,2205102
